subcentro;maq;fecha;cod_raiz;tiempo_int
TOBDIA;TC02;2022/07/24;3;480
TOBDIA;TC02;2022/08/24;42;60
TOBDIA;TC02;2022/08/24;43;10
TOBDIA;TC02;2022/08/24;81;318
TOBDIA;TC02;2022/07/25;42;60
TOBDIA;TC02;2022/07/25;43;10
TOBDIA;TC02;2022/07/25;44;15
TOBDIA;TC02;2022/07/25;45;25
TOBDIA;TC02;2022/07/25;5;259
TOBDIA;TC02;2022/08/25;42;60
TOBDIA;TC02;2022/08/25;43;15
TOBDIA;TC02;2022/08/25;45;50
TOBDIA;TC02;2022/08/25;46;70
TOBDIA;TC02;2022/07/26;5;480
TOBDIA;TC02;2022/08/26;42;60
TOBDIA;TC02;2022/08/26;43;15
TOBDIA;TC02;2022/08/26;45;4
TOBDIA;TC02;2022/08/26;46;8
TOBDIA;TC02;2022/08/26;47;4
TOBDIA;TC02;2022/08/26;5;107
TOBDIA;TC02;2022/07/27;42;60
TOBDIA;TC02;2022/07/27;43;10
TOBDIA;TC02;2022/07/27;44;12
TOBDIA;TC02;2022/07/27;45;20
TOBDIA;TC02;2022/07/27;5;278
TOBDIA;TC02;2022/08/27;42;480
TOBDIA;TC02;2022/07/28;42;60
TOBDIA;TC02;2022/07/28;43;10
TOBDIA;TC02;2022/07/28;44;18
TOBDIA;TC02;2022/07/28;45;30
TOBDIA;TC02;2022/07/28;5;162
TOBDIA;TC02;2022/08/28;3;480
TOBDIA;TC02;2022/07/29;42;60
TOBDIA;TC02;2022/07/29;43;10
TOBDIA;TC02;2022/07/29;44;12
TOBDIA;TC02;2022/07/29;45;20
TOBDIA;TC02;2022/07/29;5;254
TOBDIA;TC02;2022/08/29;42;60
TOBDIA;TC02;2022/08/29;43;15
TOBDIA;TC02;2022/08/29;45;50
TOBDIA;TC02;2022/08/29;46;70
TOBDIA;TC02;2022/08/29;5;38
TOBDIA;TC02;2022/07/30;42;480
TOBDIA;TC02;2022/08/30;42;60
TOBDIA;TC02;2022/08/30;43;10
TOBDIA;TC02;2022/08/30;45;50
TOBDIA;TC02;2022/08/30;46;45
TOBDIA;TC02;2022/08/30;5;99
TOBDIA;TC02;2022/07/31;3;480
TOBDIA;TC02;2022/08/31;42;60
TOBDIA;TC02;2022/08/31;43;10
TOBDIA;TC02;2022/08/31;45;50
TOBDIA;TC02;2022/08/31;46;50
TOBDIA;TC02;2022/08/31;5;22
